ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,NIVEL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?
g7rk5w3tjylbit2777fg7rk5w3n8vlni,30,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Pará (PA),PA,Norte,TRUE,,Graduação/Bacharelado,Outra opção,"Desempregado, buscando recolocação",,,,,,,,,
g72gzik9205ybstwnmlf4fg72gzix7k6,29,25-29,Masculino,Branca,Não,,,TRUE,Paraná (PR),PR,Sul,TRUE,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Agronegócios,de 501 a 1.000,FALSE,,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 1 a 2 anos
g6wipup0x13v3yoh8g6wipmmlqhp3isl,34,30-34,Masculino,Branca,Não,,,FALSE,,,,,,Pós-graduação,Ciências Sociais,Freelancer,Tecnologia/Fábrica de Software,Acima de 3.000,FALSE,,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g6tok6op8dopumvg6tok667eno4nedw0,31,30-34,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia","Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Marketing,de 501 a 1.000,FALSE,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 6 anos,Menos de 1 ano
g6rquq2rnvmu7lz3ag6rqdx89j81a9j0,26,25-29,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Área de Consultoria,de 101 a 500,FALSE,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g6onkyxwx5dvtq4g6onkgo31du2hk5yr,48,45-49,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Prefiro não informar,,Prefiro não informar,Varejo,Acima de 3.000,FALSE,,Outra Opção,Sênior,Menos de R$ 1.000/mês,de 3 a 4 anos,Mais de 10 anos
g6nckyqzwarptq9vg6ncl7gvz1d2ph18,19,17-21,Masculino,Branca,Não,,,TRUE,Minas Gerais (MG),MG,Sudeste,TRUE,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,
g6hpcei2zavj2uarg6hpcei1zpyx1mqd,24,22-24,Masculino,Branca,Não,,,TRUE,Minas Gerais (MG),MG,Sudeste,TRUE,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,de 501 a 1.000,FALSE,,Cientista de Dados/Data Scientist,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados
g5tbqismewb8szn9pth18lg5tbqiyaun,27,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,,TRUE,Minas Gerais (MG),MG,Sudeste,FALSE,Sudeste,Não tenho graduação formal,,Somente Estudante (graduação),,,,,,,,,
g5djb4ni8q0gs5ke6mdvxg5djfz79f84,31,30-34,Masculino,Branca,Não,,,TRUE,São Paulo (SP),SP,Sudeste,TRUE,,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,
